policy,f1,precision,recall,occluded_keep,stale_clear_absence,external_stale_absence,clear_missing,survival,deletion_events,stale_duration,cert_precision,cert_recall,id_switches,reappear_error,seed
amodal_proxy,0.8811545030115436,0.8480859366609113,0.9194745544376535,0.8534149664812855,0.9779100924660136,0.9693537685093468,0.0018656055684489873,1.0,0.4166666666666667,215.79166666666669,0.8197789374833978,0.9945404758640708,0.0,0.0,3.5
cert_hazard,0.7230587579564663,0.981006763843371,0.5739261924045863,0.5306071603908574,0.07813377212853334,0.06235073844803552,0.0038376444024626113,0.9900940920677763,35.875,14.958333333333334,0.8281779098864914,0.9940284550566838,0.0,0.0,3.5
certificate,0.7230587579564663,0.981006763843371,0.5739261924045863,0.5306071603908574,0.07813377212853334,0.06235073844803552,0.0038376444024626113,0.9900940920677763,35.875,14.958333333333334,0.8281779098864914,0.9940284550566838,0.0,0.0,3.5
hazard_filter,0.7317838773865466,0.9715831006043971,0.58819580002282,0.2710732668210413,0.0954133572557892,0.07714340487476473,0.004981780119330476,0.44833364484099775,37.333333333333336,21.791666666666668,0.800827474015939,0.9938234908610514,0.0,0.0,3.5
kalman_missing,0.8311679898592186,0.9658647336485181,0.7305199051761053,0.49781081219340195,0.22810037975294653,0.28125935913452943,0.004023467705860424,0.6026721159160333,25.666666666666664,34.958333333333336,0.8437007506435721,0.9945765171752755,0.0,0.0,3.5
long_memory,0.8994323970324349,0.9249447069110123,0.8759840323732822,0.7903338196187623,0.4881647710507337,0.5010398700037197,0.0013637203209575547,0.858093618974752,9.916666666666666,92.75,0.8281779098864914,0.9940284550566838,0.0,0.0,3.5
ttl_medium,0.7210786495147998,0.9798112718228359,0.5710678838098922,0.23918106800798988,0.08139065381371852,0.07577012897539738,0.005563349402736953,0.48212952409933835,40.375,15.291666666666666,0.8185428929734021,0.9935569267698292,0.0,0.0,3.5
ttl_short,0.5803048821369815,0.9902873150094431,0.41147398546827285,0.08026325053139038,0.03431380812957571,0.008036124380398014,0.0044426606818240375,0.42799875777816954,44.583333333333336,5.166666666666667,0.8193599576406128,0.995234733894561,0.0,0.0,3.5
