episode,policy,ttl,width_deg,speed,detection_prob,certificate_noise,tp,fp,fn,tn,precision,recall,f1,occluded_keep_rate,stale_clear_absence_rate,clear_exists_missing_rate,occlusion_survival_rate,deletion_events
32,ttl_short,3,18.0,1.0,0.96,1.25,1685,14,163,378,0.9917598587404356,0.9117965367965368,0.9500986749365661,0.425531914893617,0.03571428571428571,0.0006385696040868455,0.972972972972973,45
33,ttl_short,3,18.0,1.0,0.96,1.25,1722,15,251,252,0.9913644214162349,0.8727825646224024,0.928301886792453,0.28285714285714286,0.056179775280898875,0.0,1.0,38
34,ttl_short,3,18.0,1.0,0.96,1.25,1817,6,211,206,0.9967087218869994,0.895956607495069,0.9436509997403272,0.3716012084592145,0.02830188679245283,0.0017678255745433118,0.9473684210526315,42
35,ttl_short,3,18.0,1.0,0.96,1.25,1683,13,175,369,0.9923349056603774,0.9058127018299247,0.9471018570624649,0.4075342465753425,0.034031413612565446,0.001277139208173691,1.0,45
36,ttl_short,3,18.0,1.0,0.96,1.25,1597,18,187,438,0.9888544891640867,0.8951793721973094,0.9396881435716387,0.4096774193548387,0.039473684210526314,0.0027137042062415195,0.926829268292683,49
37,ttl_short,3,18.0,1.0,0.96,1.25,1863,9,215,153,0.9951923076923077,0.8965351299326275,0.9432911392405062,0.3884057971014493,0.05555555555555555,0.002308136180034622,0.9555555555555556,48
38,ttl_short,3,18.0,1.0,0.96,1.25,1596,21,151,472,0.987012987012987,0.9135661133371494,0.9488703923900119,0.4398496240601504,0.04259634888438134,0.0013504388926401081,0.9743589743589743,46
39,ttl_short,3,18.0,1.0,0.96,1.25,1687,15,254,284,0.9911868390129259,0.86913961875322,0.9261597584408454,0.324468085106383,0.05016722408026756,0.0,1.0,46
40,ttl_short,3,18.0,1.0,0.96,1.25,1572,21,193,454,0.9868173258003766,0.8906515580736544,0.936271590232281,0.3412969283276451,0.04421052631578947,0.0,1.0,40
41,ttl_short,3,18.0,1.0,0.96,1.25,1732,10,201,297,0.9942594718714122,0.8960165545783756,0.9425850340136055,0.38819875776397517,0.03257328990228013,0.002482929857231533,0.925,44
42,ttl_short,3,18.0,1.0,0.96,1.25,1705,15,258,262,0.9912790697674418,0.8685685175751401,0.925875644854738,0.31266846361185985,0.05415162454873646,0.0018844221105527637,0.9473684210526315,44
43,ttl_short,3,18.0,1.0,0.96,1.25,1544,18,178,500,0.9884763124199744,0.8966318234610917,0.9403166869671132,0.3767605633802817,0.03474903474903475,0.0006954102920723226,0.9696969696969697,42
44,ttl_short,3,18.0,1.0,0.96,1.25,1937,6,217,80,0.9969119917653114,0.8992571959145775,0.9455699292164998,0.3983050847457627,0.06976744186046512,0.0022222222222222222,0.9787234042553191,49
45,ttl_short,3,18.0,1.0,0.96,1.25,1925,3,258,54,0.9984439834024896,0.8818140174072377,0.9365117976161518,0.34782608695652173,0.05263157894736842,0.0016741071428571428,0.9534883720930233,46
46,ttl_short,3,18.0,1.0,0.96,1.25,1592,19,175,454,0.9882060831781502,0.9009620826259196,0.9425695677915926,0.3722627737226277,0.040169133192389,0.0020093770931011385,0.96875,40
47,ttl_short,3,18.0,1.0,0.96,1.25,1851,8,234,147,0.9956966110812264,0.8877697841726618,0.9386409736308317,0.3409090909090909,0.05161290322580645,0.001154068090017311,0.9473684210526315,43
48,ttl_short,3,18.0,1.0,0.96,1.25,1824,7,271,138,0.9961769524849808,0.8706443914081146,0.9291900152827306,0.3139240506329114,0.04827586206896552,0.0,1.0,44
49,ttl_short,3,18.0,1.0,0.96,1.25,1472,18,228,522,0.9879194630872483,0.8658823529411764,0.922884012539185,0.3058103975535168,0.03333333333333333,0.0007283321194464676,1.0,39
50,ttl_short,3,18.0,1.0,0.96,1.25,1815,12,217,196,0.993431855500821,0.8932086614173228,0.9406582016066339,0.3839541547277937,0.057692307692307696,0.0011883541295306002,0.9534883720930233,49
51,ttl_short,3,18.0,1.0,0.96,1.25,1750,15,256,219,0.9915014164305949,0.872382851445663,0.9281357730045081,0.3089430894308943,0.0641025641025641,0.0006108735491753207,0.972972972972973,43
52,ttl_short,3,18.0,1.0,0.96,1.25,1698,14,236,292,0.991822429906542,0.8779731127197518,0.9314317059791553,0.28307692307692306,0.0457516339869281,0.0018645121193287756,0.9354838709677419,36
53,ttl_short,3,18.0,1.0,0.96,1.25,1553,21,206,460,0.9866581956797967,0.8828880045480386,0.931893189318932,0.33114754098360655,0.04365904365904366,0.001375515818431912,0.96875,41
54,ttl_short,3,18.0,1.0,0.96,1.25,1676,14,230,320,0.991715976331361,0.8793284365162645,0.9321468298109011,0.3439306358381503,0.041916167664670656,0.0019230769230769232,0.9459459459459459,45
55,ttl_short,3,18.0,1.0,0.96,1.25,1959,3,181,97,0.9984709480122325,0.9154205607476635,0.9551438322769381,0.45645645645645644,0.03,0.0,1.0,52
56,ttl_short,3,18.0,1.0,0.96,1.25,1613,14,269,344,0.9913952059004303,0.8570669500531349,0.9193502422342548,0.28609625668449196,0.03910614525139665,0.001326259946949602,0.9354838709677419,41
57,ttl_short,3,18.0,1.0,0.96,1.25,1698,15,203,324,0.9912434325744308,0.8932140978432404,0.9396790260099612,0.35691318327974275,0.04424778761061947,0.0018867924528301887,0.972972972972973,43
58,ttl_short,3,18.0,1.0,0.96,1.25,1748,15,178,299,0.9914917753828701,0.9075804776739356,0.947682298725942,0.3972602739726027,0.04777070063694268,0.0012239902080783353,0.9722222222222222,43
59,ttl_short,3,18.0,1.0,0.96,1.25,1792,9,233,206,0.9950027762354248,0.8849382716049383,0.9367485624673288,0.34277620396600567,0.04186046511627907,0.0005980861244019139,0.9743589743589743,44
60,ttl_short,3,18.0,1.0,0.96,1.25,1762,4,225,249,0.9977349943374858,0.8867639657775541,0.9389821476152411,0.3715083798882682,0.015810276679841896,0.0,1.0,45
61,ttl_short,3,18.0,1.0,0.96,1.25,1764,9,211,256,0.9949238578680203,0.8931645569620253,0.9413020277481323,0.37237237237237236,0.033962264150943396,0.001218026796589525,0.9512195121951219,45
62,ttl_short,3,18.0,1.0,0.96,1.25,1922,6,178,134,0.9968879668049793,0.9152380952380952,0.9543197616683218,0.4394904458598726,0.04285714285714286,0.0011198208286674132,1.0,48
63,ttl_short,3,18.0,1.0,0.96,1.25,1730,9,241,260,0.9948246118458884,0.8777270421106037,0.9326145552560647,0.3181818181818182,0.03345724907063197,0.0006176652254478073,1.0,40
64,ttl_short,3,18.0,1.0,0.96,1.25,1593,18,219,410,0.9888268156424581,0.8791390728476821,0.9307624890446977,0.3465045592705167,0.04205607476635514,0.0026972353337828725,0.8974358974358975,45
65,ttl_short,3,18.0,1.0,0.96,1.25,1634,9,212,385,0.9945222154595252,0.8851570964247021,0.9366580682143881,0.35403726708074534,0.02284263959390863,0.0026246719160104987,0.9117647058823529,41
66,ttl_short,3,18.0,1.0,0.96,1.25,1775,6,188,271,0.9966311061201573,0.9042282221090168,0.9481837606837605,0.42105263157894735,0.021660649819494584,0.0006097560975609756,0.9767441860465116,47
67,ttl_short,3,18.0,1.0,0.96,1.25,1783,9,249,199,0.9949776785714286,0.8774606299212598,0.932531380753138,0.33875338753387535,0.04326923076923077,0.003006614552014432,0.9024390243902439,45
68,ttl_short,3,18.0,1.0,0.96,1.25,1893,6,255,86,0.9968404423380727,0.8812849162011173,0.9355077835433655,0.3496143958868895,0.06521739130434782,0.0011370096645821489,0.9772727272727273,48
69,ttl_short,3,18.0,1.0,0.96,1.25,1894,9,200,137,0.9952706253284288,0.9044890162368673,0.9477107830873156,0.4198250728862974,0.06164383561643835,0.0005711022272986865,0.9787234042553191,51
70,ttl_short,3,18.0,1.0,0.96,1.25,1883,6,186,165,0.9968237162519852,0.9101014983083615,0.9514906518443659,0.4550898203592814,0.03508771929824561,0.0023054755043227667,0.9183673469387755,53
71,ttl_short,3,18.0,1.0,0.96,1.25,1698,12,180,350,0.9929824561403509,0.9041533546325878,0.9464882943143812,0.4150326797385621,0.03314917127071823,0.0006361323155216285,0.975,46
72,ttl_short,3,18.0,1.0,0.96,1.25,1778,6,196,260,0.9966367713004485,0.900709219858156,0.9462480042575837,0.4161676646706587,0.022556390977443608,0.0006097560975609756,0.9772727272727273,48
73,ttl_short,3,18.0,1.0,0.96,1.25,1772,6,248,214,0.9966254218222722,0.8772277227722772,0.9331226961558715,0.33242506811989103,0.02727272727272727,0.0018148820326678765,0.95,43
74,ttl_short,3,18.0,1.0,0.96,1.25,1723,15,213,289,0.9913693901035673,0.8899793388429752,0.9379422972237343,0.373134328358209,0.049342105263157895,0.0018738288569643974,0.9285714285714286,47
75,ttl_short,3,18.0,1.0,0.96,1.25,1880,6,230,124,0.9968186638388123,0.8909952606635071,0.9409409409409408,0.37222222222222223,0.046153846153846156,0.002285714285714286,0.9333333333333333,47
76,ttl_short,3,18.0,1.0,0.96,1.25,1888,3,249,100,0.9984135378106822,0.8834815161441273,0.9374379344587884,0.344,0.02912621359223301,0.00170261066969353,0.9230769230769231,44
77,ttl_short,3,18.0,1.0,0.96,1.25,1570,16,186,468,0.9899117276166457,0.8940774487471527,0.9395571514063435,0.36678200692041524,0.03305785123966942,0.002044989775051125,0.9705882352941176,40
78,ttl_short,3,18.0,1.0,0.96,1.25,1848,9,256,127,0.9951534733441034,0.8783269961977186,0.9330977026003534,0.31232876712328766,0.0661764705882353,0.002875215641173088,0.9473684210526315,41
79,ttl_short,3,18.0,1.0,0.96,1.25,1626,12,225,377,0.9926739926739927,0.8784440842787682,0.9320722269991402,0.3170731707317073,0.030848329048843187,0.0006565988181221273,0.967741935483871,39
80,ttl_short,3,18.0,1.0,0.96,1.25,1461,20,252,507,0.986495611073599,0.8528896672504378,0.9148403256105198,0.27405247813411077,0.03795066413662239,0.0021897810218978104,0.967741935483871,38
81,ttl_short,3,18.0,1.0,0.96,1.25,1739,15,248,238,0.991448118586089,0.8751887267237041,0.929697941726811,0.3287671232876712,0.05928853754940711,0.0018495684340320592,0.9210526315789473,45
82,ttl_short,3,18.0,1.0,0.96,1.25,1793,9,238,200,0.9950055493895672,0.8828163466272771,0.9355596138794678,0.3407202216066482,0.0430622009569378,0.0,1.0,45
83,ttl_short,3,18.0,1.0,0.96,1.25,1685,12,263,280,0.9929286977018268,0.8649897330595483,0.9245541838134431,0.3076923076923077,0.0410958904109589,0.001273074474856779,0.9714285714285714,43
84,ttl_short,3,18.0,1.0,0.96,1.25,1842,12,250,136,0.9935275080906149,0.8804971319311663,0.9336036492650784,0.336,0.08108108108108109,0.0005824111822947001,0.975609756097561,46
85,ttl_short,3,18.0,1.0,0.96,1.25,1792,9,214,225,0.9950027762354248,0.8933200398803589,0.9414236931967429,0.36904761904761907,0.038461538461538464,0.0011976047904191617,0.9512195121951219,45
86,ttl_short,3,18.0,1.0,0.96,1.25,1805,9,250,176,0.9950385887541345,0.878345498783455,0.9330576376324633,0.32608695652173914,0.04864864864864865,0.0011855364552459987,1.0,43
87,ttl_short,3,18.0,1.0,0.96,1.25,1812,9,187,232,0.9950576606260296,0.9064532266133066,0.9486910994764398,0.4126984126984127,0.03734439834024896,0.0011876484560570072,0.9772727272727273,47
88,ttl_short,3,18.0,1.0,0.96,1.25,1660,11,262,307,0.9934171154997008,0.8636836628511967,0.9240189256888394,0.27977839335180055,0.03459119496855346,0.0012812299807815502,0.9375,38
89,ttl_short,3,18.0,1.0,0.96,1.25,1805,9,233,193,0.9950385887541345,0.8856722276741904,0.9371754932502595,0.3196480938416422,0.04455445544554455,0.0005892751915144372,0.9714285714285714,39
90,ttl_short,3,18.0,1.0,0.96,1.25,1801,9,229,201,0.9950276243093923,0.8871921182266009,0.9380208333333333,0.3656509695290859,0.04285714285714286,0.0,1.0,47
91,ttl_short,3,18.0,1.0,0.96,1.25,1612,16,179,433,0.9901719901719902,0.9000558347292016,0.9429657794676807,0.3767605633802817,0.035634743875278395,0.0013271400132714001,0.9393939393939394,41
92,ttl_short,3,18.0,1.0,0.96,1.25,1713,10,239,278,0.9941961694718514,0.8775614754098361,0.9322448979591837,0.32571428571428573,0.034722222222222224,0.0018726591760299626,0.9722222222222222,43
93,ttl_short,3,18.0,1.0,0.96,1.25,1668,15,203,354,0.9910873440285205,0.8915018706574025,0.9386606640405176,0.37888198757763975,0.04065040650406504,0.001936733376371853,0.9473684210526315,45
94,ttl_short,3,18.0,1.0,0.96,1.25,1608,13,181,438,0.9919802590993214,0.8988261598658468,0.9431085043988269,0.36042402826855124,0.028824833702882482,0.0,1.0,38
95,ttl_short,3,18.0,1.0,0.96,1.25,1913,6,198,123,0.9968733715476811,0.9062055897678826,0.9493796526054591,0.42939481268011526,0.046511627906976744,0.0,1.0,52
96,ttl_short,3,18.0,1.0,0.96,1.25,1861,9,247,123,0.9951871657754011,0.8828273244781784,0.9356460532931121,0.35883905013192613,0.06818181818181818,0.002313475997686524,0.9285714285714286,48
97,ttl_short,3,18.0,1.0,0.96,1.25,1393,20,212,615,0.9858457183297947,0.8679127725856698,0.9231278992710403,0.2956810631229236,0.031496062992125984,0.0,1.0,37
98,ttl_short,3,18.0,1.0,0.96,1.25,1734,15,194,297,0.9914236706689536,0.8993775933609959,0.9431601849333696,0.4012345679012346,0.04807692307692308,0.0,1.0,49
99,ttl_short,3,18.0,1.0,0.96,1.25,1823,11,231,175,0.9940021810250818,0.8875365141187926,0.9377572016460906,0.3514285714285714,0.05913978494623656,0.002347417840375587,0.926829268292683,45
100,ttl_short,3,18.0,1.0,0.96,1.25,2040,0,200,0,1.0,0.9107142857142857,0.9532710280373832,0.4281609195402299,0.0,0.0005285412262156448,0.9791666666666666,49
101,ttl_short,3,18.0,1.0,0.96,1.25,1747,12,217,264,0.9931779420125071,0.889511201629328,0.9384904646790223,0.36826347305389223,0.043478260869565216,0.0036809815950920245,0.9230769230769231,44
102,ttl_short,3,18.0,1.0,0.96,1.25,1867,6,213,154,0.99679658302189,0.8975961538461539,0.9445990387047812,0.373134328358209,0.0375,0.0017191977077363897,0.95,45
103,ttl_short,3,18.0,1.0,0.96,1.25,1893,9,215,123,0.9952681388012619,0.8980075901328273,0.9441396508728179,0.4011142061281337,0.06818181818181818,0.0,1.0,51
104,ttl_short,3,18.0,1.0,0.96,1.25,1651,18,160,411,0.9892150988615938,0.9116510215350635,0.9488505747126437,0.4432624113475177,0.04195804195804196,0.001962066710268149,0.975609756097561,48
105,ttl_short,3,18.0,1.0,0.96,1.25,1475,16,211,538,0.9892689470154259,0.8748517200474496,0.9285489455461128,0.3215434083601286,0.02888086642599278,0.0,1.0,39
106,ttl_short,3,18.0,1.0,0.96,1.25,1840,7,161,232,0.9962100703844071,0.9195402298850575,0.9563409563409564,0.4666666666666667,0.029288702928870293,0.0005878894767783657,0.975609756097561,47
107,ttl_short,3,18.0,1.0,0.96,1.25,1735,16,160,329,0.9908623643632211,0.9155672823218998,0.9517279210093254,0.42805755395683454,0.0463768115942029,0.0006184291898577613,0.9736842105263158,45
108,ttl_short,3,18.0,1.0,0.96,1.25,1558,18,235,429,0.9885786802030457,0.8689347462353597,0.9249035322054022,0.31268436578171094,0.040268456375838924,0.001375515818431912,0.9393939393939394,42
109,ttl_short,3,18.0,1.0,0.96,1.25,1563,19,181,477,0.9879898862199747,0.8962155963302753,0.9398677089597114,0.3669064748201439,0.038306451612903226,0.0034106412005457027,0.8709677419354839,41
110,ttl_short,3,18.0,1.0,0.96,1.25,1479,20,247,494,0.9866577718478986,0.8568945538818077,0.9172093023255814,0.31754874651810583,0.038910505836575876,0.001463057790782736,0.9736842105263158,45
111,ttl_short,3,18.0,1.0,0.96,1.25,1596,14,156,474,0.991304347826087,0.910958904109589,0.9494348602022606,0.4384057971014493,0.028688524590163935,0.0006775067750677507,0.9743589743589743,46
112,ttl_short,3,18.0,1.0,0.96,1.25,1675,12,193,360,0.992886781268524,0.8966809421841542,0.9423347398030942,0.4031746031746032,0.03225806451612903,0.003219575016097875,0.8974358974358975,46
113,ttl_short,3,18.0,1.0,0.96,1.25,1644,14,295,287,0.991556091676719,0.8478597215059309,0.914095079232694,0.25569620253164554,0.046511627906976744,0.0006476683937823834,0.96875,39
114,ttl_short,3,18.0,1.0,0.96,1.25,1680,17,235,308,0.9899823217442546,0.8772845953002611,0.9302325581395349,0.35537190082644626,0.052307692307692305,0.0006443298969072165,1.0,48
115,ttl_short,3,18.0,1.0,0.96,1.25,1734,9,164,333,0.9948364888123924,0.9135932560590094,0.9524855808843724,0.45666666666666667,0.02631578947368421,0.0006257822277847309,0.9772727272727273,49
116,ttl_short,3,18.0,1.0,0.96,1.25,1751,12,248,229,0.9931934203062961,0.8759379689844923,0.9308878256246678,0.325068870523416,0.04979253112033195,0.0018337408312958435,0.9487179487179487,44
117,ttl_short,3,18.0,1.0,0.96,1.25,1745,11,233,251,0.9937357630979499,0.8822042467138523,0.934654525977504,0.30538922155688625,0.04198473282442748,0.0006082725060827251,0.96875,38
118,ttl_short,3,18.0,1.0,0.96,1.25,1619,10,255,356,0.9938612645794966,0.8639274279615795,0.9243505566657151,0.3011049723756906,0.0273224043715847,0.0013227513227513227,0.9696969696969697,40
119,ttl_short,3,18.0,1.0,0.96,1.25,1694,15,211,320,0.9912229373902867,0.8892388451443569,0.937465412285556,0.3490566037735849,0.04477611940298507,0.002520478890989288,0.9142857142857143,42
120,ttl_short,3,18.0,1.0,0.96,1.25,1872,5,250,113,0.9973361747469366,0.882186616399623,0.9362340585146287,0.3386243386243386,0.0423728813559322,0.0,1.0,44
121,long_memory,3,18.0,1.0,0.96,1.25,1928,160,4,148,0.9233716475095786,0.9979296066252588,0.9592039800995025,0.9937694704049844,0.5194805194805194,0.0012414649286157666,1.0,5
122,long_memory,3,18.0,1.0,0.96,1.25,1993,90,3,154,0.9567930868939031,0.998496993987976,0.9772002941897524,0.9904761904761905,0.36885245901639346,0.0,1.0,3
123,long_memory,3,18.0,1.0,0.96,1.25,1805,141,8,286,0.9275436793422405,0.9955874241588527,0.9603617983506252,0.9735099337748344,0.33021077283372363,0.0,1.0,5
124,long_memory,3,18.0,1.0,0.96,1.25,1997,120,5,118,0.9433160132262636,0.9975024975024975,0.9696528283563972,0.984984984984985,0.5042016806722689,0.0,1.0,4
125,long_memory,3,18.0,1.0,0.96,1.25,1960,146,3,131,0.9306742640075973,0.9984717269485481,0.9633816662570657,0.9894736842105263,0.5270758122743683,0.0,1.0,4
126,long_memory,3,18.0,1.0,0.96,1.25,1922,120,7,191,0.941234084231146,0.9963711767755313,0.9680181314530345,0.9795918367346939,0.3858520900321543,0.0,1.0,4
127,long_memory,3,18.0,1.0,0.96,1.25,1916,146,1,177,0.9291949563530553,0.9994783515910276,0.9630560442322191,0.9966666666666667,0.4520123839009288,0.0,1.0,4
128,long_memory,3,18.0,1.0,0.96,1.25,1904,139,26,171,0.9319627998042095,0.9865284974093265,0.9584696702743518,0.9285714285714286,0.4483870967741935,0.0,1.0,4
129,long_memory,3,18.0,1.0,0.96,1.25,1945,142,13,140,0.9319597508385242,0.9933605720122574,0.96168108776267,0.9583333333333334,0.5035460992907801,0.0,1.0,4
130,long_memory,3,18.0,1.0,0.96,1.25,1920,119,37,164,0.9416380578715057,0.9810935104752172,0.9609609609609611,0.8868501529051988,0.4204946996466431,0.0,1.0,4
131,long_memory,3,18.0,1.0,0.96,1.25,2017,108,22,93,0.9491764705882353,0.9892103972535556,0.9687800192122958,0.9264214046822743,0.5373134328358209,0.0,1.0,2
132,long_memory,3,18.0,1.0,0.96,1.25,1644,187,46,363,0.8978700163844894,0.9727810650887574,0.9338256177222379,0.8489932885906041,0.34,0.0007183908045977011,1.0,7
133,long_memory,3,18.0,1.0,0.96,1.25,1917,111,20,192,0.9452662721893491,0.9896747547754259,0.9669609079445145,0.9380804953560371,0.36633663366336633,0.0,1.0,4
134,long_memory,3,18.0,1.0,0.96,1.25,1862,133,65,180,0.9333333333333333,0.9662688116242865,0.9495155532891381,0.8257372654155496,0.4249201277955272,0.0,1.0,5
135,long_memory,3,18.0,1.0,0.96,1.25,1813,197,8,222,0.9019900497512437,0.9956068094453597,0.9464891673192378,0.975609756097561,0.4701670644391408,0.000651890482398957,1.0,5
136,long_memory,3,18.0,1.0,0.96,1.25,1838,199,0,203,0.9023073146784487,1.0,0.9486451612903226,1.0,0.49502487562189057,0.0,1.0,4
137,long_memory,3,18.0,1.0,0.96,1.25,1984,119,28,109,0.9434141702330004,0.9860834990059643,0.9642770352369381,0.9293478260869565,0.5219298245614035,0.0012165450121654502,1.0,4
138,long_memory,3,18.0,1.0,0.96,1.25,1933,162,5,140,0.922673031026253,0.9974200206398349,0.9585916191420778,0.9846153846153847,0.5364238410596026,0.0,1.0,4
139,long_memory,3,18.0,1.0,0.96,1.25,1921,120,11,188,0.9412052915237629,0.9943064182194618,0.9670274351875158,0.964968152866242,0.38961038961038963,0.0,1.0,4
140,long_memory,3,18.0,1.0,0.96,1.25,1986,105,8,141,0.9497847919655668,0.995987963891675,0.9723378212974296,0.9781931464174455,0.4268292682926829,0.0005977286312014345,1.0,3
141,long_memory,3,18.0,1.0,0.96,1.25,1953,134,3,150,0.9357930043124102,0.9984662576687117,0.9661142715805094,1.0,0.47183098591549294,0.0018726591760299626,1.0,5
142,long_memory,3,18.0,1.0,0.96,1.25,1944,112,5,179,0.9455252918287937,0.9974345818368394,0.9707865168539326,0.9867021276595744,0.3848797250859107,0.0,1.0,3
