episode,policy,ttl,width_deg,speed,detection_prob,certificate_noise,certificate_false_negative,certificate_false_positive,tp,fp,fn,tn,precision,recall,f1,occluded_keep_rate,stale_clear_absence_rate,clear_exists_missing_rate,occlusion_survival_rate,deletion_events
21,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1827,33,48,332,0.9822580645161291,0.9744,0.9783132530120482,0.9299552906110283,0.09041095890410959,0.0008305647840531562,1.0,4
22,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1958,23,67,192,0.9883897021706209,0.9669135802469135,0.9775336994508238,0.9090909090909091,0.10697674418604651,0.0,1.0,3
23,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1920,23,22,275,0.9881626351003603,0.9886714727085479,0.9884169884169884,0.9690576652601969,0.07718120805369127,0.0,1.0,5
24,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1974,28,35,203,0.986013986013986,0.9825783972125436,0.9842931937172774,0.9554655870445344,0.12121212121212122,0.0015772870662460567,1.0,4
25,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1746,26,68,400,0.9853273137697517,0.9625137816979051,0.973786949247072,0.9001468428781204,0.06103286384976526,0.0,1.0,7
26,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2164,0,76,0,1.0,0.9660714285714286,0.9827429609445959,0.908433734939759,0.0,0.0,1.0,0
27,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1930,9,55,246,0.9953584321815369,0.9722921914357683,0.9836901121304791,0.9190404797601199,0.03529411764705882,0.0007587253414264037,1.0,3
28,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1764,38,82,356,0.978912319644839,0.9555796316359697,0.9671052631578948,0.8806404657933042,0.09644670050761421,0.0,1.0,6
29,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1898,40,153,149,0.9793601651186791,0.9254022428083861,0.9516169466031585,0.8013071895424837,0.21164021164021163,0.0007776049766718507,1.0,3
30,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1955,41,59,185,0.9794589178356713,0.9707050645481629,0.9750623441396509,0.914616497829233,0.18141592920353983,0.0,1.0,3
31,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2048,11,35,146,0.9946576007770762,0.9831973115698511,0.9888942539835828,0.9566831683168316,0.07006369426751592,0.0,1.0,3
32,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1828,87,23,302,0.9545691906005221,0.9875742841707186,0.9707912904938927,0.9636650868878357,0.2236503856041131,0.0,1.0,4
33,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2129,6,43,62,0.9971896955503513,0.9802025782688766,0.988623171581147,0.9430122116689281,0.08823529411764706,0.0006968641114982578,1.0,2
34,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1793,79,53,315,0.9577991452991453,0.9712892741061755,0.9644970414201184,0.9183359013867488,0.20050761421319796,0.0,1.0,5
35,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1890,29,61,260,0.9848879624804586,0.9687339825730394,0.9767441860465116,0.912981455064194,0.10034602076124567,0.0,1.0,3
36,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1928,40,110,162,0.9796747967479674,0.9460255152109912,0.9625561657513729,0.855072463768116,0.19801980198019803,0.0,1.0,4
37,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1789,30,140,281,0.9835074216602528,0.9274235355106273,0.9546424759871932,0.8123324396782842,0.09646302250803858,0.0,1.0,5
38,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1912,38,66,224,0.9805128205128205,0.9666329625884732,0.9735234215885947,0.899390243902439,0.1450381679389313,0.0,1.0,4
39,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1833,47,37,323,0.975,0.9802139037433155,0.9776,0.9476744186046512,0.12702702702702703,0.0008460236886632825,1.0,6
40,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1941,35,74,190,0.9822874493927125,0.9632754342431762,0.9726885492357805,0.8895522388059701,0.15555555555555556,0.0,1.0,3
41,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2115,3,30,92,0.9985835694050992,0.986013986013986,0.992258972554539,0.9607577807848444,0.031578947368421054,0.0007112375533428165,1.0,1
42,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2025,29,18,168,0.9858812074001947,0.9911894273127754,0.9885281913595314,0.9736842105263158,0.14720812182741116,0.0,1.0,3
43,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1990,12,40,198,0.994005994005994,0.9802955665024631,0.9871031746031746,0.9456824512534819,0.05714285714285714,0.0007621951219512195,1.0,4
44,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2014,42,54,130,0.9795719844357976,0.9738878143133463,0.976721629485936,0.9285714285714286,0.2441860465116279,0.0,1.0,3
45,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1957,22,149,112,0.9888832743810005,0.9292497625830959,0.958139534883721,0.8013422818791947,0.16417910447761194,0.0007347538574577516,1.0,2
46,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1665,75,103,397,0.9568965517241379,0.9417420814479638,0.9492588369441277,0.8303130148270181,0.15889830508474576,0.0,1.0,9
47,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1953,45,55,187,0.9774774774774775,0.9726095617529881,0.9750374438342487,0.923943661971831,0.1939655172413793,0.0007704160246533128,1.0,4
48,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2079,39,31,91,0.9815864022662889,0.9853080568720379,0.9834437086092715,0.958217270194986,0.3,0.0007183908045977011,1.0,3
49,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2017,28,17,178,0.9863080684596577,0.9916420845624385,0.988967884285364,0.9754689754689755,0.13592233009708737,0.0,1.0,2
50,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1857,41,30,312,0.9783983140147524,0.9841017488076311,0.9812417437252311,0.9579100145137881,0.11614730878186968,0.0008347245409015025,1.0,5
51,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1743,119,16,362,0.9360902255639098,0.9909039226833428,0.9627174813587407,0.9746031746031746,0.24740124740124741,0.0,1.0,6
52,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2072,6,45,117,0.9971126082771896,0.9787435049598489,0.9878426698450536,0.9465558194774347,0.04878048780487805,0.0,1.0,2
53,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1815,28,58,339,0.9848073792729246,0.9690336358782702,0.9768568353067816,0.9153284671532846,0.07629427792915532,0.0,1.0,4
54,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2019,9,100,112,0.9955621301775148,0.9528079282680509,0.9737159392331806,0.8563134978229318,0.0743801652892562,0.0006993006993006993,1.0,2
55,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1860,34,54,292,0.9820485744456178,0.9717868338557993,0.9768907563025211,0.9230769230769231,0.10429447852760736,0.0008163265306122449,1.0,4
56,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2045,19,66,110,0.9907945736434108,0.9687351965892942,0.9796407185628743,0.9148099606815203,0.14728682170542637,0.000741839762611276,1.0,3
57,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2107,3,40,90,0.9985781990521327,0.9813693525850024,0.98989898989899,0.9496688741721855,0.03225806451612903,0.0014367816091954023,1.0,1
58,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1807,72,95,266,0.9616817456093667,0.9500525762355415,0.9558317905316054,0.8702928870292888,0.21301775147928995,0.0016877637130801688,1.0,8
59,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2000,32,54,154,0.984251968503937,0.9737098344693281,0.978952520802741,0.9278074866310161,0.17204301075268819,0.0,1.0,2
60,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2077,23,65,75,0.9890476190476191,0.9696545284780579,0.9792550683639794,0.9143610013175231,0.23469387755102042,0.0,1.0,2
61,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1830,50,72,288,0.973404255319149,0.9621451104100947,0.9677419354838709,0.893491124260355,0.14792899408284024,0.0,1.0,5
62,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2020,10,43,167,0.9950738916256158,0.9791565681047019,0.9870510627901294,0.9451697127937336,0.05649717514124294,0.0007710100231303007,1.0,3
63,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1809,29,107,295,0.984221980413493,0.9441544885177453,0.9637719765583377,0.853185595567867,0.08950617283950617,0.0008375209380234506,1.0,4
64,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1768,41,111,320,0.9773355444997236,0.940926024481107,0.9587852494577006,0.8297213622291022,0.11357340720221606,0.0008110300081103001,1.0,6
65,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1621,91,90,438,0.9468457943925234,0.9473991817650497,0.9471224072451067,0.8580441640378549,0.1720226843100189,0.0,1.0,8
66,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1658,35,63,484,0.9793266391021854,0.9633933759442185,0.971294669009959,0.8956953642384106,0.0674373795761079,0.0,1.0,7
67,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1786,55,38,361,0.9701249321021184,0.9791666666666666,0.9746248294679399,0.940625,0.13221153846153846,0.0,1.0,6
68,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1843,53,96,248,0.9720464135021097,0.9504899432697267,0.9611473272490222,0.8604651162790697,0.1760797342192691,0.0,1.0,4
69,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2091,16,20,113,0.992406264831514,0.9905258171482709,0.9914651493598862,0.9769975786924939,0.12403100775193798,0.0007782101167315176,1.0,2
70,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1856,30,43,311,0.9840933191940615,0.9773565034228542,0.9807133421400265,0.9387755102040817,0.08797653958944282,0.0008244023083264633,1.0,5
71,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1832,33,51,324,0.9823056300268097,0.9729155602761551,0.9775880469583778,0.9247787610619469,0.09243697478991597,0.0,1.0,4
72,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2052,27,51,110,0.987012987012987,0.9757489300998573,0.9813486370157819,0.931129476584022,0.19708029197080293,0.0007262164124909223,1.0,2
73,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1992,39,31,178,0.9807976366322009,0.9846762234305487,0.9827331031080414,0.9596231493943472,0.17972350230414746,0.00078125,1.0,3
74,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1617,58,95,470,0.9653731343283583,0.9445093457943925,0.9548272807794508,0.8477564102564102,0.10984848484848485,0.0,1.0,8
75,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1752,91,25,372,0.9506239826370049,0.9859313449634215,0.9679558011049724,0.9594155844155844,0.19654427645788336,0.0,1.0,8
76,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1857,23,56,304,0.9877659574468085,0.970726607422896,0.9791721592407066,0.9176470588235294,0.07033639143730887,0.0,1.0,4
77,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1874,59,51,256,0.9694774961200207,0.9735064935064935,0.9714878175220322,0.9217527386541471,0.1873015873015873,0.0007776049766718507,1.0,3
78,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2043,23,98,76,0.9888673765730881,0.9542269967304998,0.9712384121701926,0.8762755102040817,0.23232323232323232,0.0007369196757553427,1.0,1
79,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1517,184,175,364,0.8918283362727807,0.8965721040189125,0.8941939286766873,0.7090301003344481,0.3357664233576642,0.0009140767824497258,1.0,9
80,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1546,92,39,563,0.9438339438339438,0.9753943217665615,0.9593546385355259,0.9378151260504202,0.14045801526717558,0.00202020202020202,1.0,8
81,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1994,32,51,163,0.9842053307008884,0.9750611246943766,0.9796118889707689,0.9308943089430894,0.1641025641025641,0.0,1.0,4
82,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1980,6,115,139,0.9969788519637462,0.9451073985680191,0.9703504043126684,0.8567870485678705,0.041379310344827586,0.0,1.0,2
83,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1877,71,102,190,0.9635523613963038,0.9484588175846387,0.9559460147695441,0.8497023809523809,0.2720306513409962,0.0007651109410864575,1.0,5
84,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1854,52,69,265,0.9727177334732424,0.9641185647425897,0.9683990598067381,0.8950617283950617,0.1640378548895899,0.000784313725490196,1.0,7
85,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1729,49,55,407,0.9724409448818898,0.969170403587444,0.9708029197080292,0.9105691056910569,0.1074561403508772,0.0,1.0,6
86,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1875,37,61,267,0.9806485355648535,0.96849173553719,0.9745322245322245,0.9042386185243328,0.12171052631578948,0.0,1.0,5
87,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1960,29,80,171,0.9854198089492208,0.9607843137254902,0.9729461404815091,0.8936170212765957,0.145,0.0,1.0,3
88,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1963,51,45,181,0.9746772591857001,0.977589641434263,0.9761312779711587,0.9312977099236641,0.21982758620689655,0.0,1.0,5
89,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1927,46,0,267,0.9766852508869741,1.0,0.9882051282051282,1.0,0.14696485623003194,0.0,1.0,4
90,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1913,39,58,230,0.9800204918032787,0.9705733130390665,0.9752740249808819,0.9177489177489178,0.1449814126394052,0.000782472613458529,1.0,5
91,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1787,57,26,370,0.9690889370932755,0.9856591285162714,0.9773038009297238,0.9566724436741768,0.13348946135831383,0.0008090614886731392,1.0,6
92,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1943,26,53,218,0.9867953275774505,0.9734468937875751,0.9800756620428752,0.9314888010540184,0.10655737704918032,0.0008084074373484236,1.0,3
93,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1979,6,159,96,0.996977329974811,0.9256314312441534,0.9599805966529226,0.8014981273408239,0.058823529411764705,0.0,1.0,2
94,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2053,38,15,134,0.9818268770923003,0.9927466150870407,0.9872565520557827,0.9796747967479674,0.22093023255813954,0.0,1.0,2
95,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2119,3,50,68,0.9985862393967955,0.9769479022591055,0.9876485667676532,0.9350132625994695,0.04225352112676056,0.0007067137809187279,1.0,1
96,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1818,41,22,359,0.9779451317912856,0.9880434782608696,0.9829683698296836,0.9666666666666667,0.1025,0.0,1.0,7
97,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2030,26,39,145,0.9873540856031129,0.9811503141614306,0.9842424242424243,0.9472222222222222,0.15204678362573099,0.0007412898443291327,1.0,3
98,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1799,64,122,255,0.9656468062265163,0.9364914107235814,0.9508456659619451,0.8268398268398268,0.2006269592476489,0.0016286644951140066,1.0,4
99,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1846,40,16,338,0.9787910922587487,0.99140708915145,0.9850586979722519,0.9776223776223776,0.10582010582010581,0.0,1.0,5
100,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1944,41,61,194,0.979345088161209,0.9695760598503741,0.9744360902255639,0.9135446685878963,0.17446808510638298,0.0007627765064836003,1.0,3
101,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1874,73,24,269,0.9625064201335388,0.9873551106427819,0.9747724317295189,0.9647577092511013,0.2134502923976608,0.0,1.0,4
102,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1956,19,101,164,0.990379746835443,0.9508993680116675,0.9702380952380952,0.861878453038674,0.10382513661202186,0.0007501875468867217,1.0,4
103,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1890,15,136,199,0.9921259842519685,0.932872655478776,0.9615873823454593,0.8082975679542204,0.07009345794392523,0.0015071590052750565,1.0,4
104,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1789,27,97,327,0.9851321585903083,0.9485683987274656,0.9665045921123717,0.8590308370044053,0.07627118644067797,0.0008298755186721991,1.0,5
105,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2028,30,50,132,0.9854227405247813,0.9759384023099134,0.9806576402321082,0.9343832020997376,0.18518518518518517,0.0,1.0,3
106,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1970,29,41,200,0.9854927463731866,0.9796121332670313,0.9825436408977557,0.9438990182328191,0.12663755458515283,0.0007704160246533128,1.0,3
107,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1995,11,72,162,0.9945164506480558,0.965166908563135,0.9796219003191751,0.9069462647444299,0.06358381502890173,0.0007668711656441718,1.0,3
108,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1877,42,36,285,0.9781136008337676,0.9811813904861474,0.9796450939457204,0.9461538461538461,0.12844036697247707,0.000791765637371338,1.0,5
109,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1872,49,41,278,0.9744924518479958,0.9785676947203346,0.9765258215962441,0.9437412095639943,0.14984709480122324,0.0008319467554076539,1.0,7
110,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2013,21,119,87,0.9896755162241888,0.9441838649155723,0.9663946231397024,0.8404825737265416,0.19444444444444445,0.0,1.0,3
111,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1761,71,32,376,0.9612445414847162,0.9821528165086447,0.9715862068965517,0.9532428355957768,0.15883668903803133,0.0008849557522123894,1.0,5
112,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1823,68,48,301,0.9640401903754627,0.9743452699091395,0.9691653375863902,0.921311475409836,0.1842818428184282,0.0,1.0,5
113,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1828,71,65,276,0.9626119010005266,0.965662968832541,0.9641350210970464,0.9024390243902439,0.20461095100864554,0.0008084074373484236,1.0,6
114,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1995,67,47,131,0.9675072744907857,0.9769833496571988,0.9722222222222222,0.9353023909985936,0.3383838383838384,0.0007513148009015778,1.0,2
115,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1846,37,88,269,0.9803505045140732,0.954498448810755,0.9672517684045062,0.8796169630642955,0.12091503267973856,0.0,1.0,6
116,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1917,46,53,224,0.9765664798777381,0.9730964467005077,0.9748283752860413,0.9287671232876712,0.17037037037037037,0.0008064516129032258,1.0,3
117,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1882,40,55,263,0.9791883454734651,0.9716055756324212,0.9753822233739311,0.9205202312138728,0.132013201320132,0.0,1.0,5
118,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1814,21,92,313,0.9885558583106268,0.9517313746065058,0.9697941726811014,0.8645066273932254,0.06287425149700598,0.0,1.0,5
119,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2084,39,48,69,0.981629769194536,0.9774859287054409,0.9795534665099882,0.930835734870317,0.3611111111111111,0.0,1.0,3
120,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1972,45,51,172,0.977689638076351,0.9747899159663865,0.9762376237623762,0.9319727891156463,0.2073732718894009,0.0007763975155279503,1.0,4
121,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1855,59,28,298,0.9691745036572623,0.9851301115241635,0.9770871740848038,0.9616438356164384,0.16526610644257703,0.0,1.0,7
122,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1851,14,69,306,0.9924932975871313,0.9640625,0.9780713342140026,0.8989751098096632,0.04375,0.0,1.0,5
123,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2034,52,17,137,0.975071907957814,0.9917113603120429,0.9833212472806381,0.9749216300940439,0.2751322751322751,0.0007077140835102619,1.0,2
124,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1775,72,53,340,0.961017866811045,0.9710065645514223,0.9659863945578232,0.9219219219219219,0.17475728155339806,0.0008605851979345956,1.0,6
125,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1821,60,66,293,0.9681020733652312,0.9650238473767886,0.9665605095541401,0.9062049062049062,0.16997167138810199,0.0008375209380234506,1.0,5
126,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1829,34,102,275,0.9817498658078369,0.9471776281719316,0.9641539272535582,0.8518518518518519,0.11003236245954692,0.0015923566878980893,1.0,5
127,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1997,28,32,183,0.9861728395061728,0.984228684080828,0.9851998026640356,0.9608323133414932,0.13270142180094788,0.0,1.0,4
128,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1947,44,64,185,0.9779005524861878,0.9681750372948782,0.9730134932533733,0.9108910891089109,0.19213973799126638,0.0007668711656441718,1.0,5
129,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1938,15,109,178,0.9923195084485407,0.9467513434294089,0.969,0.8578878748370273,0.07772020725388601,0.0,1.0,5
130,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1873,36,46,285,0.9811419591409115,0.976029181865555,0.9785788923719959,0.9347517730496454,0.11214953271028037,0.0,1.0,5
131,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1790,18,99,333,0.9900442477876106,0.9475913181577554,0.9683527184203409,0.8480620155038759,0.05128205128205128,0.0008038585209003215,1.0,4
132,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1869,44,35,292,0.9769994772608468,0.9816176470588235,0.9793031176316478,0.9508426966292135,0.13095238095238096,0.0,1.0,4
133,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1958,19,38,225,0.9903894790085989,0.9809619238476954,0.9856531588220487,0.951058201058201,0.0778688524590164,0.0008064516129032258,1.0,4
134,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1999,34,57,150,0.9832759468765372,0.9722762645914397,0.9777451699682075,0.9307304785894207,0.18478260869565216,0.001584786053882726,1.0,3
135,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1881,28,119,212,0.9853326348873755,0.9405,0.9623944742900997,0.8429530201342282,0.11666666666666667,0.0015936254980079682,1.0,4
136,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2036,14,102,88,0.9931707317073171,0.9522918615528532,0.9723018147086915,0.8678996036988111,0.13725490196078433,0.001448225923244026,1.0,3
137,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1911,21,108,200,0.9891304347826086,0.9465081723625557,0.967350037965072,0.8526603001364257,0.09502262443438914,0.0,1.0,3
138,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1703,90,53,394,0.9498047964305633,0.9698177676537585,0.9597069597069596,0.9174603174603174,0.1859504132231405,0.0008880994671403197,1.0,8
139,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2071,24,34,111,0.98854415274463,0.9838479809976247,0.9861904761904762,0.9559834938101788,0.17777777777777778,0.001451378809869376,1.0,3
140,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1912,32,52,244,0.9835390946502057,0.9735234215885947,0.9785056294779939,0.9277456647398844,0.11594202898550725,0.0015723270440251573,1.0,4
