episode,policy,ttl,width_deg,speed,detection_prob,certificate_noise,certificate_false_negative,certificate_false_positive,tp,fp,fn,tn,precision,recall,f1,occluded_keep_rate,stale_clear_absence_rate,clear_exists_missing_rate,occlusion_survival_rate,deletion_events
1,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1832,44,88,276,0.976545842217484,0.9541666666666667,0.9652265542676502,0.8787878787878788,0.1375,0.0,1.0,5
2,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1692,22,192,334,0.9871645274212368,0.8980891719745223,0.9405225125069483,0.7209302325581395,0.06179775280898876,0.0,1.0,6
3,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1927,19,42,252,0.9902363823227133,0.97866937531742,0.984418901660281,0.9460188933873145,0.07011070110701106,0.0016286644951140066,1.0,5
4,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1813,97,66,264,0.9492146596858638,0.9648749334752528,0.9569807337028239,0.8963317384370016,0.26869806094182824,0.0007987220447284345,1.0,7
5,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1917,26,147,150,0.9866186309830159,0.9287790697674418,0.9568255552782631,0.8010825439783491,0.14772727272727273,0.0,1.0,4
6,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2013,36,18,173,0.9824304538799414,0.9911373707533235,0.986764705882353,0.975609756097561,0.1722488038277512,0.0,1.0,3
7,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2102,3,106,29,0.9985748218527316,0.9519927536231884,0.974727567818224,0.8675,0.09375,0.0,1.0,1
8,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1877,42,37,284,0.9781136008337676,0.9806687565308255,0.9793895121314897,0.9467455621301775,0.12883435582822086,0.0008077544426494346,1.0,4
9,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1933,30,74,203,0.9847172694854814,0.963129048330842,0.9738035264483628,0.8914956011730205,0.12875536480686695,0.0,1.0,5
10,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1927,21,22,270,0.9892197125256673,0.9887121600820934,0.9889658711829613,0.9692737430167597,0.07216494845360824,0.0,1.0,4
11,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1836,25,83,296,0.9865663621708759,0.9567483064095883,0.9714285714285713,0.8951406649616368,0.0778816199376947,0.0008795074758135445,1.0,6
12,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1969,25,77,169,0.9874623871614845,0.9623655913978495,0.9747524752475247,0.8974700399467377,0.12886597938144329,0.0,1.0,3
13,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2018,49,88,85,0.9762941461054668,0.9582146248812915,0.9671699017493409,0.8746397694524496,0.3656716417910448,0.000708215297450425,1.0,2
14,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1818,58,86,278,0.9690831556503199,0.9548319327731093,0.961904761904762,0.8693009118541033,0.17261904761904762,0.0,1.0,5
15,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1704,56,18,462,0.9681818181818181,0.9895470383275261,0.9787478460654796,0.973015873015873,0.10810810810810811,0.0009157509157509158,1.0,8
16,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1829,74,86,251,0.9611140304781923,0.9550913838120104,0.9580932425353588,0.8787878787878788,0.2276923076923077,0.0016366612111292963,1.0,5
17,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1699,71,66,404,0.9598870056497175,0.9626062322946176,0.9612446958981613,0.8926829268292683,0.14947368421052631,0.0,1.0,7
18,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2056,37,48,99,0.9823220258002867,0.9771863117870723,0.9797474386466524,0.9349030470914127,0.27205882352941174,0.000723589001447178,1.0,2
19,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,1866,70,45,259,0.9638429752066116,0.9764521193092621,0.9701065765531582,0.9326347305389222,0.2127659574468085,0.0,1.0,6
20,certificate,3,42.0,1.0,0.96,0.0,0.0,0.0,2200,0,40,0,1.0,0.9821428571428571,0.9909909909909909,0.9489528795811518,0.0,0.0006775067750677507,1.0,0
