episode,policy,ttl,width_deg,speed,detection_prob,certificate_noise,certificate_false_negative,certificate_false_positive,tp,fp,fn,tn,precision,recall,f1,occluded_keep_rate,stale_clear_absence_rate,clear_exists_missing_rate,occlusion_survival_rate,deletion_events,scenario
1,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2042,12,75,111,0.994157740993184,0.9645725082664147,0.9791416926396547,0.9093137254901961,0.0975609756097561,0.0007686395080707148,1.0,2,clean
2,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2039,36,43,122,0.9826506024096385,0.9793467819404419,0.9809959105123887,0.9437908496732026,0.22784810126582278,0.0,1.0,3,clean
3,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1950,16,54,220,0.9918616480162767,0.9730538922155688,0.9823677581863981,0.9231884057971015,0.06779661016949153,0.00076103500761035,1.0,3,clean
4,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1898,16,65,261,0.9916405433646813,0.9668874172185431,0.9791075573897344,0.9012158054711246,0.05776173285198556,0.0,1.0,4,clean
5,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1920,56,25,239,0.97165991902834,0.987146529562982,0.9793420045906657,0.9613601236476044,0.18983050847457628,0.0,1.0,4,clean
6,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2000,6,125,109,0.9970089730807578,0.9411764705882353,0.9682885499878965,0.8404118404118404,0.05217391304347826,0.000741839762611276,1.0,2,clean
7,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1759,27,65,389,0.9848824188129899,0.9643640350877193,0.9745152354570638,0.8976377952755905,0.06490384615384616,0.0,1.0,6,clean
8,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1939,30,40,231,0.9847638395124428,0.9797877716018191,0.9822695035460992,0.9470108695652174,0.11494252873563218,0.0008045052292839903,1.0,4,clean
9,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2066,6,65,103,0.997104247104247,0.9694978883153449,0.9831073043064478,0.9148099606815203,0.05504587155963303,0.0,1.0,2,clean
10,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1950,8,3,279,0.9959141981613892,0.9984639016897081,0.9971874200971618,0.9954058192955589,0.027874564459930314,0.0,1.0,3,clean
11,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1894,11,65,270,0.9942257217847769,0.9668198060234814,0.9803312629399585,0.9035608308605341,0.03914590747330961,0.0,1.0,4,clean
12,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1576,52,33,579,0.9680589680589681,0.9794903666873834,0.9737411183194316,0.9403254972875226,0.08240887480190175,0.0,1.0,8,clean
13,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1806,83,35,316,0.9560614081524617,0.9809885931558935,0.9683646112600536,0.9494949494949495,0.20802005012531327,0.0,1.0,7,clean
14,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1655,43,37,505,0.974676089517079,0.9781323877068558,0.9764011799410031,0.9365351629502573,0.07846715328467153,0.0,1.0,8,clean
15,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1749,46,40,405,0.9743732590529248,0.9776411403018446,0.9760044642857143,0.9459459459459459,0.10199556541019955,0.001841620626151013,1.0,7,clean
16,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1761,50,89,340,0.9723909442297074,0.9518918918918919,0.9620322316307021,0.8647416413373861,0.1282051282051282,0.0,1.0,7,clean
17,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2030,21,102,87,0.9897610921501706,0.9521575984990619,0.970595266555104,0.8602739726027397,0.19444444444444445,0.0,1.0,3,clean
18,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1983,24,24,209,0.9880418535127056,0.9880418535127056,0.9880418535127056,0.9641255605381166,0.10300429184549356,0.0,1.0,4,clean
19,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1869,32,15,324,0.9831667543398211,0.9920382165605095,0.9875825627476883,0.9796195652173914,0.0898876404494382,0.0,1.0,6,clean
