episode,policy,ttl,width_deg,speed,detection_prob,certificate_noise,certificate_false_negative,certificate_false_positive,tp,fp,fn,tn,precision,recall,f1,occluded_keep_rate,stale_clear_absence_rate,clear_exists_missing_rate,occlusion_survival_rate,deletion_events,scenario
20,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2098,6,63,73,0.997148288973384,0.970846830171217,0.9838218053927316,0.920410783055199,0.0759493670886076,0.000723589001447178,1.0,2,clean
21,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1772,80,64,324,0.9568034557235421,0.9651416122004357,0.9609544468546637,0.9010819165378671,0.19801980198019803,0.0,1.0,6,clean
22,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1676,72,40,452,0.9588100686498856,0.9766899766899767,0.9676674364896074,0.9367720465890182,0.13740458015267176,0.0017937219730941704,1.0,7,clean
23,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1718,76,43,403,0.9576365663322185,0.9755820556501987,0.9665260196905766,0.9256055363321799,0.15866388308977036,0.0,1.0,6,clean
24,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1935,18,86,201,0.9907834101382489,0.9574468085106383,0.9738298943130348,0.8870748299319728,0.0821917808219178,0.0023328149300155523,1.0,4,clean
25,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1949,48,32,211,0.9759639459188784,0.9838465421504291,0.9798893916540976,0.9524517087667161,0.18532818532818532,0.0,1.0,4,clean
26,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1838,57,19,326,0.9699208443271767,0.9897684437264405,0.9797441364605544,0.9704968944099379,0.14882506527415143,0.0,1.0,7,clean
27,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2099,9,44,88,0.99573055028463,0.9794680354643024,0.9875323453305106,0.9426336375488917,0.09278350515463918,0.0,1.0,3,clean
28,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2110,9,72,49,0.9957527135441245,0.9670027497708524,0.9811671704254824,0.9019073569482289,0.15517241379310345,0.0,1.0,1,clean
29,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2025,10,48,157,0.995085995085995,0.9768451519536903,0.9858812074001947,0.930835734870317,0.059880239520958084,0.0,1.0,3,clean
30,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1939,34,50,217,0.9827673593512417,0.9748617395676219,0.9787985865724381,0.9358151476251605,0.13545816733067728,0.0,1.0,4,clean
31,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2040,45,5,150,0.9784172661870504,0.9975550122249389,0.9878934624697338,0.9932523616734144,0.23076923076923078,0.0,1.0,3,clean
32,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1889,73,60,218,0.9627930682976554,0.9692149820420729,0.965993352083866,0.9125364431486881,0.2508591065292096,0.0,1.0,4,clean
33,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2081,11,23,125,0.9947418738049714,0.9890684410646388,0.9918970448045759,0.9701686121919585,0.08088235294117647,0.0,1.0,3,clean
34,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2047,23,56,114,0.9888888888888889,0.9733713742272944,0.9810687754612989,0.924119241192412,0.1678832116788321,0.0,1.0,3,clean
35,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2049,30,69,92,0.9855699855699855,0.9674220963172805,0.9764117226590422,0.9058663028649386,0.2459016393442623,0.0,1.0,2,clean
36,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1821,48,64,307,0.9743178170144462,0.9660477453580902,0.9701651571656899,0.9064327485380117,0.1352112676056338,0.0,1.0,5,clean
37,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1907,81,14,238,0.9592555331991952,0.9927121290994274,0.9756971092350984,0.9802731411229135,0.25391849529780564,0.000792393026941363,1.0,4,clean
38,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1806,67,54,313,0.9642285104111051,0.9709677419354839,0.9675863916421109,0.9194029850746268,0.1763157894736842,0.0,1.0,6,clean
39,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2057,23,11,149,0.9889423076923077,0.9946808510638298,0.9918032786885246,0.9874686716791979,0.13372093023255813,0.0007874015748031496,1.0,5,clean
40,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1757,20,46,417,0.9887450759707372,0.9744869661674986,0.981564245810056,0.9316493313521546,0.04576659038901602,0.0,1.0,5,clean
41,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2097,40,29,74,0.9812821712681329,0.9863593603010348,0.9838142153413089,0.9611780455153949,0.3508771929824561,0.0,1.0,2,clean
42,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1802,25,76,337,0.9863163656267104,0.9595314164004259,0.9727395411605937,0.880690737833595,0.06906077348066299,0.0,1.0,5,clean
43,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1908,50,68,214,0.9744637385086823,0.9655870445344129,0.9700050838840873,0.8998527245949927,0.1893939393939394,0.0,1.0,5,clean
44,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1838,26,57,319,0.9860515021459227,0.9699208443271767,0.9779196594839051,0.9201680672268907,0.07536231884057971,0.0,1.0,5,clean
45,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2024,13,43,160,0.9936180657830143,0.9791969037252056,0.9863547758284601,0.9425133689839572,0.07514450867052024,0.0,1.0,4,clean
46,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2099,23,22,96,0.9891611687087654,0.9896275341819897,0.9893942964883338,0.9701897018970189,0.19327731092436976,0.0,1.0,1,clean
47,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2016,80,49,95,0.9618320610687023,0.976271186440678,0.9689978370583994,0.9345794392523364,0.45714285714285713,0.0,1.0,3,clean
48,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1863,36,127,214,0.981042654028436,0.936180904522613,0.9580869118025199,0.8167155425219942,0.144,0.0015290519877675841,1.0,4,clean
49,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1806,34,71,329,0.9815217391304348,0.9621736814064997,0.9717514124293786,0.890282131661442,0.09366391184573003,0.0008071025020177562,1.0,6,clean
50,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1946,9,77,208,0.9953964194373401,0.9619377162629758,0.9783810960281549,0.8913043478260869,0.041474654377880185,0.0015003750937734434,1.0,3,clean
51,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1876,15,93,256,0.9920676890534109,0.9527679024885729,0.9720207253886011,0.875,0.055350553505535055,0.0016116035455278,1.0,5,clean
52,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1618,61,79,482,0.9636688505062537,0.9534472598703595,0.9585308056872038,0.8713355048859935,0.11233885819521179,0.0,1.0,9,clean
53,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2115,7,7,111,0.9967012252591895,0.9967012252591895,0.9967012252591895,0.9923469387755102,0.059322033898305086,0.0007473841554559044,1.0,2,clean
54,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1728,52,50,410,0.9707865168539326,0.9718785151856018,0.9713322091062393,0.9222395023328149,0.11255411255411256,0.0,1.0,6,clean
55,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1960,65,53,162,0.9679012345679012,0.9736711376055638,0.9707776126795443,0.9293628808864266,0.28634361233480177,0.001549186676994578,1.0,4,clean
56,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2057,27,149,7,0.9870441458733206,0.9324569356300997,0.9589743589743589,0.8128950695322377,0.7941176470588235,0.0007067137809187279,1.0,1,clean
57,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1651,80,34,475,0.9537839399191219,0.9798219584569733,0.9666276346604216,0.9463414634146341,0.14414414414414414,0.0009345794392523365,1.0,6,clean
58,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1643,127,59,411,0.9282485875706215,0.9653349001175088,0.9464285714285714,0.9119496855345912,0.23605947955390336,0.0028142589118198874,1.0,9,clean
59,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2099,3,34,104,0.9985727878211227,0.9840600093764651,0.991263282172373,0.958594730238394,0.028037383177570093,0.0007485029940119761,1.0,1,clean
60,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1598,83,107,452,0.9506246281975015,0.9372434017595308,0.9438865918487891,0.8203389830508474,0.15514018691588785,0.0008968609865470852,1.0,8,clean
61,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1871,70,73,226,0.9639361154044307,0.9624485596707819,0.9631917631917631,0.8935860058309038,0.23648648648648649,0.0,1.0,4,clean
62,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1744,42,19,435,0.9764837625979843,0.9892229154849688,0.9828120597351366,0.9699499165275459,0.0880503144654088,0.000859106529209622,1.0,8,clean
63,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1647,80,102,411,0.9536768963520555,0.9416809605488851,0.9476409666283084,0.8408736349453978,0.1629327902240326,0.0,1.0,7,clean
64,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1913,40,0,287,0.9795186891961085,1.0,0.9896533885152612,1.0,0.12232415902140673,0.0,1.0,5,clean
65,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1880,20,110,230,0.9894736842105263,0.9447236180904522,0.9665809768637531,0.8340874811463047,0.08,0.0,1.0,4,clean
66,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1615,161,114,350,0.9093468468468469,0.9340659340659341,0.9215406562054208,0.8303571428571429,0.3150684931506849,0.0,1.0,9,clean
67,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1832,72,52,284,0.9621848739495799,0.9723991507430998,0.9672650475184795,0.924963924963925,0.20224719101123595,0.0,1.0,6,clean
68,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1919,52,22,247,0.9736174530695079,0.988665636269964,0.9810838445807771,0.9696092619392185,0.17391304347826086,0.0008,1.0,6,clean
69,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1892,29,50,269,0.984903695991671,0.9742533470648815,0.9795495728708258,0.9267935578330894,0.09731543624161074,0.0,1.0,5,clean
70,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1812,60,45,323,0.967948717948718,0.975767366720517,0.9718423169750603,0.9292452830188679,0.1566579634464752,0.0,1.0,6,clean
71,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1911,29,33,267,0.9850515463917526,0.9830246913580247,0.9840370751802267,0.952449567723343,0.09797297297297297,0.0,1.0,5,clean
72,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2020,25,44,151,0.9877750611246944,0.9786821705426356,0.9832075930883427,0.9441489361702128,0.14204545454545456,0.001524390243902439,1.0,3,clean
73,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1881,14,88,257,0.9926121372031662,0.9553072625698324,0.9736024844720497,0.8850726552179656,0.05166051660516605,0.0008250825082508251,1.0,4,clean
74,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2014,14,41,171,0.9930966469428008,0.9800486618004867,0.9865295126132745,0.9397944199706314,0.07567567567567568,0.0,1.0,3,clean
75,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1811,73,25,331,0.9612526539278131,0.9863834422657952,0.9736559139784946,0.9620060790273556,0.1806930693069307,0.0,1.0,6,clean
76,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2061,9,41,129,0.9956521739130435,0.9804947668886774,0.9880153403643337,0.9486215538847118,0.06521739130434782,0.0,1.0,3,clean
77,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1982,17,135,106,0.991495747873937,0.9362305148795466,0.9630709426627794,0.82421875,0.13821138211382114,0.0,1.0,2,clean
78,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1890,59,36,255,0.9697280656747049,0.9813084112149533,0.9754838709677418,0.9509536784741145,0.18789808917197454,0.0,1.0,6,clean
79,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2017,6,130,87,0.9970341077607514,0.9394503959012576,0.9673860911270983,0.8289473684210527,0.06451612903225806,0.0,1.0,2,clean
80,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1827,53,32,328,0.9718085106382979,0.9827864443249059,0.9772666488365873,0.9515885022692889,0.13910761154855644,0.0,1.0,6,clean
81,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1904,35,113,188,0.9819494584837545,0.9439762022806147,0.9625884732052578,0.8413597733711048,0.15695067264573992,0.0007627765064836003,1.0,3,clean
82,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2115,6,15,104,0.9971711456859972,0.9929577464788732,0.995059985885674,0.9808743169398907,0.05454545454545454,0.000715307582260372,1.0,2,clean
83,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1963,28,50,199,0.9859367152184831,0.9751614505712867,0.9805194805194806,0.924924924924925,0.12334801762114538,0.0,1.0,3,clean
84,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1815,74,29,322,0.9608258337744838,0.9842733188720173,0.9724082507366729,0.9583952451708767,0.18686868686868688,0.0008539709649871904,1.0,4,clean
85,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1718,85,143,294,0.9528563505268997,0.92315959161741,0.9377729257641922,0.7795031055900621,0.22427440633245382,0.0008216926869350862,1.0,6,clean
86,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2019,28,16,177,0.9863214460185638,0.9921375921375921,0.9892209701126898,0.9813486370157819,0.13658536585365855,0.002242152466367713,1.0,3,clean
87,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1957,24,35,224,0.9878849066128218,0.982429718875502,0.9851497608859803,0.9487554904831625,0.0967741935483871,0.0,1.0,4,clean
88,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1946,12,33,249,0.9938712972420838,0.9833249115715007,0.9885699771399543,0.9540889526542324,0.04597701149425287,0.00078003120124805,1.0,4,clean
89,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1984,30,46,180,0.9851042701092354,0.9773399014778326,0.9812067260138477,0.9296875,0.14285714285714285,0.0007194244604316547,1.0,4,clean
90,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1811,47,31,351,0.9747039827771797,0.9831704668838219,0.9789189189189189,0.9566473988439307,0.11809045226130653,0.0008695652173913044,1.0,5,clean
91,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1831,44,63,302,0.9765333333333334,0.9667370644139388,0.9716105067657205,0.91,0.12716763005780346,0.0,1.0,5,clean
92,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1783,41,39,377,0.9775219298245614,0.9785949506037321,0.9780581459133297,0.9397217928902627,0.09808612440191387,0.0,1.0,6,clean
93,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2030,30,35,145,0.9854368932038835,0.9830508474576272,0.9842424242424243,0.9569190600522193,0.17142857142857143,0.001539645881447267,1.0,2,clean
94,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1671,58,89,422,0.9664545980335454,0.9494318181818182,0.9578675838349098,0.8494077834179357,0.12083333333333333,0.0,1.0,6,clean
95,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2046,6,107,81,0.9970760233918129,0.9503019043195541,0.9731272294887039,0.8561827956989247,0.06896551724137931,0.0,1.0,2,clean
96,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1874,62,25,279,0.9679752066115702,0.9868351764086362,0.9773142112125163,0.9621451104100947,0.18181818181818182,0.0007905138339920949,1.0,6,clean
97,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1999,48,84,109,0.9765510503175379,0.9596735477676428,0.9680387409200969,0.8922077922077922,0.3057324840764331,0.0007616146230007616,1.0,4,clean
98,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2062,37,52,89,0.9823725583611244,0.9754020813623463,0.9788749109897935,0.9286694101508917,0.29365079365079366,0.0,1.0,2,clean
99,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1666,68,38,468,0.9607843137254902,0.9776995305164319,0.9691681210005817,0.935042735042735,0.12686567164179105,0.0,1.0,7,clean
100,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1730,30,126,354,0.9829545454545454,0.9321120689655172,0.956858407079646,0.8201438848920863,0.078125,0.0008613264427217916,1.0,5,clean
101,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1895,12,99,234,0.9937073938122706,0.9503510531594784,0.9715457574980774,0.8621659634317862,0.04878048780487805,0.000779423226812159,1.0,4,clean
102,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1792,72,56,320,0.9613733905579399,0.9696969696969697,0.9655172413793105,0.9115323854660348,0.1836734693877551,0.0,1.0,7,clean
103,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1801,43,50,346,0.9766811279826464,0.9729875742841707,0.974830852503383,0.9212598425196851,0.11053984575835475,0.0,1.0,6,clean
104,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1851,104,82,203,0.9468030690537085,0.9575788929125711,0.9521604938271605,0.8757575757575757,0.33876221498371334,0.0,1.0,5,clean
105,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1807,56,46,331,0.9699409554482018,0.9751753912574204,0.972551130247578,0.9342105263157895,0.14470284237726097,0.000855431993156544,1.0,6,clean
106,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1940,49,99,152,0.9753645047762695,0.9514467876410004,0.9632571996027806,0.8597733711048159,0.24378109452736318,0.0,1.0,3,clean
107,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1864,47,51,278,0.9754055468341183,0.9733681462140992,0.974385781495034,0.9253294289897511,0.14461538461538462,0.0,1.0,6,clean
108,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1937,32,32,239,0.983748095479939,0.983748095479939,0.983748095479939,0.9574759945130316,0.11808118081180811,0.0008064516129032258,1.0,4,clean
109,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1901,12,69,258,0.9937271301620492,0.9649746192893401,0.9791398403296421,0.9085948158253752,0.044444444444444446,0.0016168148746968471,1.0,4,clean
110,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1766,32,22,420,0.982202447163515,0.9876957494407159,0.9849414389291691,0.9677914110429447,0.07079646017699115,0.0008802816901408451,1.0,6,clean
111,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2173,3,36,28,0.9986213235294118,0.9837030330466274,0.9911060433295326,0.9558823529411765,0.0967741935483871,0.0,1.0,1,clean
112,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1831,31,16,362,0.9833512352309345,0.9913373037357878,0.9873281207872742,0.9764359351988218,0.07888040712468193,0.0,1.0,6,clean
113,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1896,36,74,234,0.9813664596273292,0.9624365482233502,0.9718093285494618,0.8975069252077562,0.13333333333333333,0.0,1.0,4,clean
114,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1953,30,60,197,0.9848714069591528,0.970193740685544,0.9774774774774775,0.9147727272727273,0.13215859030837004,0.0,1.0,3,clean
115,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1827,24,55,334,0.9870340356564019,0.9707757704569607,0.9788373961960889,0.9200581395348837,0.0670391061452514,0.0,1.0,4,clean
116,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1956,30,65,189,0.9848942598187311,0.9678377041068777,0.9762914898926878,0.9114441416893733,0.136986301369863,0.0,1.0,3,clean
117,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1905,61,43,231,0.9689725330620549,0.9779260780287474,0.9734287174246294,0.9393019726858877,0.2089041095890411,0.0023273855702094647,1.0,5,clean
118,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,2063,23,34,120,0.9889741131351869,0.9837863614687649,0.9863734162084627,0.9525801952580195,0.16083916083916083,0.0,1.0,2,clean
119,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1544,87,66,543,0.9466584917228694,0.9590062111801242,0.9527923480407282,0.8797814207650273,0.1380952380952381,0.0,1.0,8,clean
120,certificate,3,42.0,1.0,0.96,1.25,0.0,0.0,1792,62,66,320,0.9665587918015103,0.9644779332615716,0.9655172413793104,0.8947368421052632,0.16230366492146597,0.0,1.0,6,clean
121,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1920,51,25,244,0.974124809741248,0.987146529562982,0.9805924412665985,0.9655688622754491,0.17288135593220338,0.0015661707126076742,1.0,5,false_negative_10pct
122,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1740,19,33,448,0.9891984081864695,0.9813874788494078,0.9852774631936579,0.949685534591195,0.04068522483940043,0.0008795074758135445,1.0,6,false_negative_10pct
123,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1935,48,31,226,0.9757942511346445,0.9842319430315362,0.9799949354266905,0.9567642956764296,0.17518248175182483,0.0,1.0,3,false_negative_10pct
124,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1976,31,32,201,0.9845540607872446,0.9840637450199203,0.9843088418430884,0.9561042524005487,0.1336206896551724,0.0,1.0,4,false_negative_10pct
125,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1749,35,74,382,0.9803811659192825,0.9594075699396599,0.969780981425007,0.8885542168674698,0.08393285371702638,0.0,1.0,8,false_negative_10pct
126,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1936,9,123,172,0.9953727506426735,0.9402622632345798,0.967032967032967,0.8362892223738063,0.049723756906077346,0.0022624434389140274,1.0,3,false_negative_10pct
127,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1815,19,25,381,0.9896401308615049,0.9864130434782609,0.9880239520958084,0.962852897473997,0.0475,0.0,1.0,6,false_negative_10pct
128,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1847,26,45,322,0.9861185264281901,0.976215644820296,0.9811420982735725,0.9294670846394985,0.07471264367816093,0.0,1.0,5,false_negative_10pct
129,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2104,18,77,41,0.9915174363807728,0.9646950939935809,0.9779223797350686,0.9044665012406948,0.3050847457627119,0.0,1.0,2,false_negative_10pct
130,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1991,34,84,131,0.9832098765432099,0.9595180722891566,0.9712195121951219,0.8857142857142857,0.20606060606060606,0.0,1.0,2,false_negative_10pct
131,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1863,59,97,221,0.9693028095733611,0.9505102040816327,0.9598145285935086,0.8594436310395315,0.21071428571428572,0.0007830853563038371,1.0,5,false_negative_10pct
132,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1964,18,62,196,0.9909182643794148,0.9693978282329714,0.9800399201596807,0.9128571428571428,0.08411214953271028,0.0007541478129713424,1.0,4,false_negative_10pct
133,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1871,24,62,283,0.987335092348285,0.9679255043973098,0.9775339602925811,0.9124293785310734,0.0781758957654723,0.0,1.0,4,false_negative_10pct
134,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1987,50,23,180,0.9754540991654393,0.9885572139303482,0.9819619471213243,0.9702127659574468,0.21739130434782608,0.0015325670498084292,1.0,4,false_negative_10pct
135,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1816,50,53,321,0.9732047159699893,0.9716425896201177,0.9724230254350736,0.9190031152647975,0.1347708894878706,0.0008149959250203749,1.0,4,false_negative_10pct
136,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1772,47,68,353,0.9741616272677295,0.9630434782608696,0.9685706477179558,0.8986587183308494,0.1175,0.0,1.0,6,false_negative_10pct
